Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,Sum
0.25,0.0,0.15,2.61,-4.75,-3.36,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.82
0.25,-0.005,0.15,2.61,-4.75,-3.36,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.82
0.25,-0.01,0.15,2.61,-4.75,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-10.79
0.25,-0.015,0.15,2.61,-4.75,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-10.79
0.25,-0.02,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.1
0.25,-0.025,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.1
0.25,-0.03,0.15,2.61,-3.06,-4.33,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.1
0.25,-0.035,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.04,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.045,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.05,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.055,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.06,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.065,0.15,2.61,-3.06,-4.62,-3.48,7.45,-5.14,4.22,-5.69,-1.83,0.0,-9.39
0.25,-0.07,0.15,2.61,-3.06,-4.62,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.22
0.25,-0.075,0.15,2.61,-3.06,-4.62,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.22
0.25,-0.08,0.15,2.61,-3.06,-4.43,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.03
0.25,-0.085,0.15,2.61,-3.06,-4.43,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.03
0.25,-0.09,0.15,2.61,-3.06,-4.43,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.03
0.25,-0.095,0.33,2.61,-3.06,-4.25,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-6.67
0.25,-0.1,0.33,2.61,-3.96,-4.25,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.57
0.25,-0.105,0.33,2.61,-3.96,-4.27,-3.48,7.45,-2.97,4.22,-5.69,-1.83,0.0,-7.59
0.25,-0.11,0.33,2.61,-3.96,-4.27,0.0,7.45,-2.97,4.22,-5.69,-1.83,0.0,-4.11
0.25,-0.115,0.33,2.61,-3.96,-4.27,0.0,7.45,-2.97,4.22,-5.69,-1.83,0.0,-4.11
0.25,-0.12,0.33,2.93,-3.96,-2.16,0.0,7.45,-2.97,4.22,-5.69,-1.83,0.0,-1.68
0.25,-0.125,0.33,2.93,-3.96,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.0
0.25,-0.13,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.135,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.14,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.145,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.15,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.155,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.16,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.165,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.17,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.175,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.18,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,-8.71
0.25,-0.185,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,-12.93
0.25,-0.19,0.33,0.0,0.0,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,-11.19
0.25,-0.195,0.33,0.0,0.0,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,-11.19
0.25,-0.2,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.22
0.25,-0.205,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.22
0.25,-0.21,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.22
0.25,-0.215,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.22,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.225,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.23,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.235,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.24,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.25,-0.245,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,-8.55
0.245,0.0,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,0.0,-9.48
0.245,-0.005,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,0.0,-9.48
0.245,-0.01,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-10.38
0.245,-0.015,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-10.38
0.245,-0.02,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.69
0.245,-0.025,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.69
0.245,-0.03,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.69
0.245,-0.035,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.04,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.045,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.05,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.055,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.06,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.065,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,0.0,-8.98
0.245,-0.07,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,0.0,-6.81
